"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"pcg_1011","Capital souscrit - non appelé","1011","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1012","Capital souscrit - appelé non versé","1012","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_10131","Capital non amorti","10131","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_10132","Capital amorti","10132","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1018","Capital souscrit soumis à des réglementations particulières","1018","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_105","Fonds de dotation","105","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_108","Compte de l'exploitant","108","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_109","Actionnaires: capital souscrit - non appelé","109","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_111","Réserve légale","111","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_112","Réserves statutaires","112","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1171","Primes d'émission liées au capital","1171","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1172","Primes de fusion liées au capital","1172","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1173","Primes d'apport liées au capital","1173","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1174","Primes de conversion d'obligation liées au capital","1174","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1178","Autres compléments d'apport liées au capital","1178","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1181","Réserves pour fonds socia","1181","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_119","Avoirs des actionnaires","119","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_121","Résultats reportés","121","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_128","Modifications comptables affectant les résultats reportés","128","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_131","Résultat bénéficiaire","131","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_135","Résultat déficitaire","135","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_141","Titres soumis à des réglementations particulières","141","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1421","Réserves indisponibles","1421","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_143","Amortissements dérogatoires","143","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_144","Réserve spéciale de réévaluation","144","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1451","Subventions d'investissement","1451","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1458","Autres subventions d'investissement","1458","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1459","Subventions d'investissement inscrites aux comptes de résulta","1459","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_147","Compte du concédant","147","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1511","Provisions pour litiges","1511","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1512","Provisions pour garanties données aux clients","1512","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_1513","Provisions pour pertes sur marchés à achèvement futur","1513","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
